Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-03-30,175.12774658203125,176.9403944114148,174.07364315055753,175.89615196692193,92633200
2022-03-31,172.01473999023438,175.38390609608072,171.80785464486016,175.196727695979,103049300
2022-04-01,171.7191925048828,172.28072769395772,169.38442310861137,171.4433554045636,78751300
2022-04-04,175.7877960205078,175.8370558621495,171.847249201064,171.97532178293372,76468400
2022-04-05,172.4580535888672,175.6499023764881,171.8275666096823,174.86178989450815,73401800
2022-04-06,169.27606201171875,171.0493112985937,167.60133241989047,169.79818332507708,89058800
2022-04-07,169.5814666748047,170.78333490464928,167.32550977045483,168.6160367143053,77594700
2022-04-08,167.56192016601562,169.2268038174018,166.68514898671697,169.2268038174018,76575500
2022-04-11,163.28640747070312,166.5176546331748,163.04012329653918,166.2024187068813,72246700
2022-04-12,165.1680450439453,167.34518902716218,164.16320126523246,165.52269490513837,79265200
2022-04-13,167.8673095703125,168.4977965392979,164.2912731044712,164.9020531279272,70618900
2022-04-14,162.833251953125,168.72438072783297,162.586967757821,168.08403280084593,75329400
2022-04-18,162.6165313720703,164.12378940474295,161.13882623948976,161.4836150845622,69023900
2022-04-19,164.91188049316406,165.32565114265935,161.47376296963859,162.56726532731986,67723800
2022-04-20,164.74444580078125,166.36993076637688,163.63125128349097,166.25170411215385,67929800
2022-04-21,163.94647216796875,168.98052205416587,163.4440577878417,166.3994683269321,87227800
2022-04-22,159.38528442382812,165.37491827853887,159.09960135126914,163.9858867436895,84882400
2022-04-25,160.45907592773438,160.7447589663099,156.10477337045293,158.72522565667649,96046400
2022-04-26,154.46946716308594,159.927118912707,154.39065440814608,159.83846020039812,95623200
2022-04-27,154.2428741455078,157.4150007741114,153.07055896241795,153.59268025761008,88063200
2022-04-28,161.20777893066406,162.07470409037728,156.5677781733732,156.88302915217585,130216800
2022-04-29,155.3068389892578,163.72976318035495,154.91279020979022,159.43456534336957,131747600
2022-05-02,155.61221313476562,155.87818924361486,150.99191920912216,154.38079215381563,123055300
2022-05-03,157.109619140625,158.32134827768206,153.99659814843346,155.79938533869836,88966500
2022-05-04,163.5524139404297,164.0055684455129,156.89287962543,157.29678931665225,108256500
2022-05-05,154.43991088867188,161.64125898319347,152.64695457490816,161.41468171268338,130525300
2022-05-06,155.16998291015625,157.3010086854407,152.11156545188234,153.9170165903248,116124600
2022-05-09,150.01998901367188,153.73941561249285,149.45764385540176,152.85148081205793,131577900
2022-05-10,152.43714904785156,154.63724308180875,150.87834390139417,153.43360891877307,115366700
2022-05-11,144.53460693359375,153.36453383442003,143.85386132504854,151.44069736728082,142689800
2022-05-12,140.64744567871094,144.23861168034963,136.9378943865604,140.8546349911873,182602000
2022-05-13,145.13641357421875,146.11313742780084,141.19007646669226,142.65021698133427,113990900
2022-05-16,143.58749389648438,145.54094194189835,142.2457384454301,143.59736937557525,86643800
2022-05-17,147.2378387451172,147.76072719277806,144.71217042216534,146.86293191317884,78336300
2022-05-18,138.93081665039062,145.3830717339922,138.0231457925829,144.87991913040798,109742900
2022-05-19,135.50733947753906,139.75951476961413,134.76740136256322,138.00339618106452,136095600
2022-05-20,135.74411010742188,138.8123874278818,130.8309252366742,137.22398633811162,137426100
2022-05-23,141.19007873535156,141.33806035762905,135.80332187322705,135.94144307204655,117726300
2022-05-24,138.4769744873047,140.06537583009975,135.48762522944844,138.92093441641646,104132700
2022-05-25,138.6348114013672,139.88776245487574,136.48405008857472,136.57283905065083,92482700
2022-05-26,141.85107421875,142.40355895877516,135.30015577230265,135.5468018208196,90601500
2022-05-27,147.6324462890625,147.6719030298471,143.311203050322,143.43946380251003,90978500
2022-05-31,146.8432159423828,148.638806745276,144.87004717652198,147.07014118939657,103718400
2022-06-01,146.7149200439453,149.7042684977662,145.6987246272328,147.88894241277572,74286600
2022-06-02,149.18141174316406,149.2406043897797,144.88976421455953,145.8467521457281,72348100
2022-06-03,143.4296112060547,145.98486058899564,142.52195557770006,144.92920830294685,88570300
2022-06-06,144.17941284179688,146.57682025024437,142.95604302742927,145.0574721682304,71598400
2022-06-07,146.7149200439453,147.00102279337307,142.16676699159797,142.41341300299624,67808200
2022-06-08,145.9749755859375,147.85933958899736,145.48168358484887,146.5866528499827,53950200
2022-06-09,140.72637939453125,145.96513944929978,140.61785452288095,145.10681595338983,69473000
2022-06-10,135.29029846191406,138.87158893198634,135.22123034078209,138.398032723083,91437900
2022-06-13,130.11073303222656,133.3861848467611,129.6766335624987,131.0874417850336,122207100
2022-06-14,130.97889709472656,132.09374192288612,129.71607067613803,131.34394344124865,84784300
2022-06-15,133.61306762695312,135.49744673257783,130.38694869575667,132.48836243769395,91533000
2022-06-16,128.3151397705078,130.61388278319032,127.30881966252552,130.30804408715656,108123900
2022-06-17,129.79501342773438,131.2946256093659,128.06849109789493,128.32501262151087,134520300
2022-06-21,134.0471954345703,135.2212330849965,131.53141767403508,131.63006706526505,81000500
2022-06-22,133.53419494628906,135.9118517379788,132.11351110393437,132.98169507664278,73409200
2022-06-23,136.4149932861328,136.7306923828884,133.8104117580623,134.98444929360062,72433800
2022-06-24,139.75950622558594,140.00615224883282,137.89486289200275,138.0231085873177,89116800
2022-06-27,139.75950622558594,141.56495692224246,139.07876079277202,140.78554705849837,70207900
2022-06-28,135.5961456298828,141.49591539948213,135.47776033378267,140.22322830416132,67083400
2022-06-29,137.3621063232422,138.78278990100551,134.83645332014265,135.6158632251475,66242400
2022-06-30,134.88580322265625,136.51366125405357,131.97538262351003,135.40869168384842,98964500
2022-07-01,137.06613159179688,137.17465645272313,133.84001219295945,134.2149039410031,71051600
2022-07-05,139.6608428955078,139.71017511136174,135.09295369166503,135.92169577740663,73353800
2022-07-06,141.0026092529297,142.1865072585656,139.187297974016,139.45367991786003,74064300
2022-07-07,144.3865966796875,144.58391049928917,141.35777610681967,141.36763652887194,66253700
2022-07-08,145.06735229492188,145.57051993448914,143.054726898899,143.31123340352403,64547800
2022-07-11,142.9264678955078,144.67272638483928,141.8510945825749,143.715738374884,63141600
2022-07-12,143.90318298339844,146.45843264319691,143.10405212913633,143.80451853424552,77588800
2022-07-13,143.5381317138672,144.48524405643747,140.21333293071814,141.07167136789155,71185600
2022-07-14,146.4781494140625,146.951705589172,141.32817896574866,142.14704561371514,78140700
2022-07-15,148.1553497314453,148.8360952483167,146.21177762394427,147.77058248983283,76259900
